[ 20:38:09 DEBUG ] - Delete GameObject 0x563f2585f710
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f25864bf0
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f2582c880
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f2582c420
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f258564f0
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f25843420
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f2585c420
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f2585bfc0
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f25864330
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f25855c30
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f25842320
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f2583a650
[ 20:38:09 DEBUG ] - Delete GameObject 0x563f25856090
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f2582cca0
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f2584db70
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f2582f9d0
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f25842fc0
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f258602e0
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f25841ec0
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f25841a60
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f258631b0
[ 20:38:10 DEBUG ] - Delete GameObject 0x563f2582fe30
[ 20:38:11 DEBUG ] - Delete GameObject 0x563f2585bfc0
[ 20:38:11 DEBUG ] - Delete GameObject 0x563f2582c880
[ 20:38:11 DEBUG ] - Delete GameObject 0x563f25864bf0
[ 20:38:11 DEBUG ] - Delete GameObject 0x563f2585f710
[ 20:38:11 DEBUG ] - Delete GameObject 0x563f2584d2b0
[ 20:38:12 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:12 DEBUG ] - Delete GameObject 0x563f25842320
[ 20:38:12 DEBUG ] - Delete GameObject 0x563f2584db70
[ 20:38:12 DEBUG ] - Delete GameObject 0x563f25842fc0
[ 20:38:13 DEBUG ] - Delete GameObject 0x563f2582fe30
[ 20:38:14 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:15 DEBUG ] - Delete GameObject 0x563f25842fc0
[ 20:38:15 DEBUG ] - Delete GameObject 0x563f2582f9d0
[ 20:38:15 DEBUG ] - Delete GameObject 0x563f25855c30
[ 20:38:15 DEBUG ] - Delete GameObject 0x563f25864330
[ 20:38:16 DEBUG ] - Delete GameObject 0x563f25852ad0
[ 20:38:17 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:17 DEBUG ] - Delete GameObject 0x563f258415c0
[ 20:38:17 DEBUG ] - Delete GameObject 0x563f25843840
[ 20:38:19 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:19 DEBUG ] - Delete GameObject 0x563f25852ad0
[ 20:38:19 DEBUG ] - Delete GameObject 0x563f25864330
[ 20:38:19 DEBUG ] - Delete GameObject 0x563f25855c30
[ 20:38:19 DEBUG ] - Delete GameObject 0x563f2582f9d0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25843840
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25842fc0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2585c880
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2562ba20
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f257cfaa0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2579e480
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f257c94b0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f257e25a0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2584f0c0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2581c930
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2583b080
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2586a6e0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25827db0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2585a760
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25828670
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25828ad0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2585cce0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2582d0c0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f258415c0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25828210
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25852ad0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f258664e0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25864330
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f25866080
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2586afa0
[ 20:38:20 DEBUG ] - Delete GameObject 0x563f2586ab40
